2020-10-19,9,['2']
2020-10-28,698,['1']
2020-10-28,378,['18']
2020-10-27,971,['128']
2020-10-03,23,['188']
2020-10-19,387,['124']
2020-10-30,527,['175']
2020-10-23,640,['108']
2020-10-25,684,['193']
2020-10-05,406,['130']
2020-10-21,1217,['133']
2020-10-04,449,"['76', '151', '180']"
2020-10-16,38,['2']
2020-10-11,289,['142']
2020-10-18,661,"['138', '170']"
2020-10-12,6,"['123', '188']"
2020-10-07,1384,"['76', '155', '182']"
2020-10-24,280,"['129', '140']"
2020-10-05,1941,"['128', '130']"
2020-10-31,725,"['76', '169']"
2020-10-08,610,"['128', '134', '154']"
2020-10-20,827,['142']
2020-10-18,1610,['128']
2020-10-05,599,['76']
2020-10-09,243,"['22', '179']"
2020-10-19,1026,['170']
2020-10-01,1399,['151']
2020-10-20,466,"['129', '151', '151', '164']"
2020-10-21,1345,['142']
2020-10-03,1479,"['129', '134', '134']"
2020-10-13,1173,['128']
2020-10-09,683,"['129', '154', '169']"
2020-10-06,198,"['2', '108', '123']"
2020-10-13,23,['2']
2020-10-16,86,['107']
2020-10-11,20,['188']
2020-10-10,1740,['155']
2020-10-17,776,"['128', '134']"
2020-10-19,439,"['93', '100', '187']"
2020-10-15,308,['130']
2020-10-02,1237,['148']
2020-10-07,864,['134']
2020-10-12,124,['22']
2020-10-24,414,['142']
2020-10-10,1607,"['128', '155']"
2020-10-17,1289,['130']
2020-10-24,1936,['129']
2020-10-09,283,['134']
2020-10-14,792,['187']
2020-10-13,434,['146']
2020-10-24,1430,"['1', '93']"
2020-10-18,658,"['107', '138']"
2020-10-29,130,['107']
2020-10-28,883,"['14', '93']"
2020-10-19,501,"['146', '151']"
2020-10-29,1001,['130']
2020-10-08,793,"['151', '164']"
2020-10-06,1137,"['142', '169']"
2020-10-01,1428,['156']
2020-10-18,22,['188']
2020-10-01,299,['2']
2020-10-14,377,['154']
2020-10-04,706,"['146', '148', '151', '154', '169', '169']"
2020-10-13,901,['134']
2020-10-02,418,['135']
2020-10-02,1889,['132']
2020-10-29,231,['124']
2020-10-24,555,"['129', '139']"
2020-10-29,425,"['124', '135']"
2020-10-03,1591,"['128', '132']"
2020-10-19,1515,['161']
2020-10-12,1212,['157']
2020-10-14,130,['151']
2020-10-18,1442,['134']
2020-10-10,1412,['129']
2020-10-26,1989,['194']
2020-10-01,1923,['46']
2020-10-18,834,"['146', '151']"
2020-10-16,183,['188']
2020-10-20,74,['2']
2020-10-22,528,['124']
2020-10-01,1366,['135']
2020-10-11,109,['187']
2020-10-10,47,"['74', '187']"
2020-10-13,197,['146']
2020-10-28,465,"['25', '108', '193']"
2020-10-30,399,"['76', '138']"
2020-10-05,1566,"['131', '154']"
2020-10-20,1590,['135']
2020-10-09,526,"['128', '135']"
2020-10-09,1092,['141']
2020-10-27,1009,['151']
2020-10-11,1368,"['132', '134']"
2020-10-04,2170,"['175', '187']"
2020-10-21,142,['2']
2020-10-24,1885,['14']
2020-10-03,1391,"['76', '139', '170']"
2020-10-04,1817,"['74', '128']"
2020-10-05,294,['107']
2020-10-25,1259,['76']
2020-10-10,1029,['178']
2020-10-26,859,"['170', '193']"
2020-10-07,10,"['2', '123']"
2020-10-02,2006,"['93', '128']"
2020-10-18,609,"['76', '139', '154', '166']"
2020-10-09,1259,"['20', '128', '169']"
2020-10-06,702,"['18', '142', '169']"
2020-10-02,2180,['26']
2020-10-22,73,['188']
2020-10-13,1016,"['26', '134']"
2020-10-22,1007,['129']
2020-10-30,28,['173']
2020-10-21,508,['76']
2020-10-05,676,"['151', '151', '164']"
2020-10-26,545,"['2', '124']"
2020-10-16,1141,"['128', '130']"
2020-10-11,1580,"['128', '154']"
2020-10-27,1502,['141']
2020-10-16,1080,"['107', '128']"
2020-10-30,235,['146']
2020-10-29,865,['108']
2020-10-01,158,"['2', '26']"
2020-10-11,1499,"['154', '157']"
2020-10-28,22,['2']
2020-10-25,333,['142']
2020-10-22,1292,"['76', '142']"
2020-10-09,854,['74']
2020-10-21,666,['154']
2020-10-10,772,"['128', '134']"
2020-10-22,60,"['25', '76']"
2020-10-25,1363,['134']
2020-10-27,269,['130']
2020-10-21,550,['130']
2020-10-06,1079,['154']
2020-10-14,606,['170']
2020-10-16,727,"['22', '169']"
2020-10-08,804,['154']
2020-10-15,444,"['74', '130']"
2020-10-22,1759,"['107', '134']"
2020-10-05,628,['151']
2020-10-11,97,['188']
2020-10-08,275,['154']
2020-10-17,434,"['140', '151', '164']"
2020-10-21,1521,['135']
2020-10-10,779,"['128', '134']"
2020-10-22,1705,"['22', '139', '140', '192']"
2020-10-07,1608,"['134', '159']"
2020-10-17,1044,"['134', '154']"
2020-10-30,500,['135']
2020-10-23,426,"['156', '161']"
2020-10-27,1515,['134']
2020-10-09,900,['74']
2020-10-03,401,['22']
2020-10-07,1106,['76']
2020-10-18,1427,"['107', '169']"
2020-10-25,772,['193']
2020-10-20,350,"['154', '169']"
2020-10-29,782,['138']
2020-10-06,86,['174']
2020-10-16,1256,"['128', '135']"
2020-10-30,438,['22']
2020-10-07,7,"['2', '2']"
2020-10-14,173,['169']
2020-10-15,918,"['128', '134', '154']"
2020-10-08,351,"['22', '154']"
2020-10-05,251,['74']
2020-10-09,165,"['169', '188']"
2020-10-18,789,['155']
2020-10-29,512,"['128', '154']"
2020-10-30,120,['108']
2020-10-10,1441,['134']
2020-10-09,512,"['128', '154']"
2020-10-09,1770,['134']
2020-10-04,620,['142']
2020-10-29,1145,"['76', '139']"
2020-10-08,696,"['130', '134', '157']"
2020-10-08,108,['188']
2020-10-16,339,['74']
2020-10-04,1487,['151']
2020-10-18,167,"['2', '156']"
2020-10-07,1360,"['74', '142']"
2020-10-06,92,['169']
2020-10-03,1046,['139']
2020-10-04,436,"['139', '148']"
2020-10-02,203,['2']
2020-10-29,802,['130']
2020-10-08,681,"['128', '154']"
2020-10-05,1919,['129']
2020-10-19,524,"['76', '146', '151']"
2020-10-07,607,"['74', '148']"
2020-10-30,477,"['76', '141']"
2020-10-02,1158,['76']
2020-10-24,882,"['151', '164']"
2020-10-02,2140,"['76', '128']"
2020-10-07,309,['76']
2020-10-06,293,['157']
2020-10-03,1712,"['76', '128']"
2020-10-05,978,"['26', '76', '176']"
2020-10-25,968,['141']
2020-10-29,742,['108']
2020-10-10,287,"['141', '151', '164']"
2020-10-25,910,['169']
2020-10-22,1180,"['50', '161', '175']"
2020-10-25,1701,['142']
2020-10-03,1324,"['74', '141']"
2020-10-23,797,['156']
2020-10-09,1782,['155']
2020-10-25,1759,"['12', '107', '155']"
2020-10-25,295,"['151', '164']"
2020-10-19,1588,"['100', '141']"
2020-10-07,451,"['74', '128']"
2020-10-23,1545,['161']
2020-10-21,1594,['151']
2020-10-17,636,['142']
2020-10-21,1364,['134']
2020-10-08,29,['2']
2020-10-27,627,['154']
2020-10-19,724,"['138', '154', '169']"
2020-10-26,810,"['128', '154']"
2020-10-19,734,['138']
2020-10-23,1482,"['12', '139']"
2020-10-16,1417,['74']
2020-10-08,1997,['169']
2020-10-25,460,['142']
2020-10-12,1290,['100']
2020-10-03,1210,['128']
2020-10-08,1434,['159']
2020-10-13,1073,['141']
2020-10-23,623,"['135', '154']"
